"T","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.9435e-12,9.1519e-07,-7.9713e-09,-3.2201e-25,1,0.000588,-1.2e-05,0.0007,0
9.3047e-12,7.9328e-07,-7.2231e-09,-2.5476e-25,1,0.000591,-9e-06,0.0007,0
1.6307e-11,6.7354e-07,-6.5778e-09,-7.945e-25,1,0.000594,-6e-06,0.0007,0
2.66e-11,5.5708e-07,-5.7671e-09,-1.0367e-24,1,0.000597,-3e-06,0.0007,0
4.0484e-11,4.4477e-07,-4.962e-09,-1.2733e-24,1,0.0006,0,0.0007,0
5.7592e-11,3.392e-07,-4.1787e-09,-9.1756e-25,1,0.000603,3e-06,0.0007,0
7.6743e-11,2.4304e-07,-3.5473e-09,-6.5914e-25,1,0.000606,6e-06,0.0007,0
9.6124e-11,1.5864e-07,-2.9786e-09,-6.6178e-25,1,0.000609,9e-06,0.0007,0
1.136e-10,8.876e-08,-2.5102e-09,1.2029e-25,1,0.000612,1.2e-05,0.0007,0
1.2691e-10,3.7537e-08,-1.1382e-09,-3.6266e-26,1,0.000615,1.5e-05,0.0007,0
1.3441e-10,8.7082e-09,-1.9868e-09,7.1396e-26,1,0.000618,1.8e-05,0.0007,0
nan,nan,nan,nan,0,0.000621,2.1e-05,0.0007,0
nan,nan,nan,nan,0,0.000624,2.4e-05,0.0007,0
nan,nan,nan,nan,0,0.000627,2.7e-05,0.0007,0
nan,nan,nan,nan,0,0.00063,3e-05,0.0007,0
nan,nan,nan,nan,0,0.000633,3.3e-05,0.0007,0
nan,nan,nan,nan,0,0.000636,3.6e-05,0.0007,0
nan,nan,nan,nan,0,0.000639,3.9e-05,0.0007,0
nan,nan,nan,nan,0,0.000642,4.2e-05,0.0007,0
nan,nan,nan,nan,0,0.000645,4.5e-05,0.0007,0
nan,nan,nan,nan,0,0.000648,4.8e-05,0.0007,0
nan,nan,nan,nan,0,0.000651,5.1e-05,0.0007,0
nan,nan,nan,nan,0,0.000654,5.4e-05,0.0007,0
nan,nan,nan,nan,0,0.000657,5.7e-05,0.0007,0
nan,nan,nan,nan,0,0.00066,6e-05,0.0007,0
nan,nan,nan,nan,0,0.000663,6.3e-05,0.0007,0
nan,nan,nan,nan,0,0.000666,6.6e-05,0.0007,0
nan,nan,nan,nan,0,0.000669,6.9e-05,0.0007,0
nan,nan,nan,nan,0,0.000672,7.2e-05,0.0007,0
nan,nan,nan,nan,0,0.000675,7.5e-05,0.0007,0
nan,nan,nan,nan,0,0.000678,7.8e-05,0.0007,0
nan,nan,nan,nan,0,0.000681,8.1e-05,0.0007,0
nan,nan,nan,nan,0,0.000684,8.4e-05,0.0007,0
nan,nan,nan,nan,0,0.000687,8.7e-05,0.0007,0
nan,nan,nan,nan,0,0.00069,9e-05,0.0007,0
nan,nan,nan,nan,0,0.000693,9.3e-05,0.0007,0
nan,nan,nan,nan,0,0.000696,9.6e-05,0.0007,0
nan,nan,nan,nan,0,0.000699,9.9e-05,0.0007,0
nan,nan,nan,nan,0,0.000702,0.000102,0.0007,0
nan,nan,nan,nan,0,0.000705,0.000105,0.0007,0
nan,nan,nan,nan,0,0.000708,0.000108,0.0007,0
nan,nan,nan,nan,0,0.000711,0.000111,0.0007,0
nan,nan,nan,nan,0,0.000714,0.000114,0.0007,0
nan,nan,nan,nan,0,0.000717,0.000117,0.0007,0
nan,nan,nan,nan,0,0.00072,0.00012,0.0007,0
nan,nan,nan,nan,0,0.000723,0.000123,0.0007,0
nan,nan,nan,nan,0,0.000726,0.000126,0.0007,0
nan,nan,nan,nan,0,0.000729,0.000129,0.0007,0
nan,nan,nan,nan,0,0.000732,0.000132,0.0007,0
nan,nan,nan,nan,0,0.000735,0.000135,0.0007,0
nan,nan,nan,nan,0,0.000738,0.000138,0.0007,0
nan,nan,nan,nan,0,0.000741,0.000141,0.0007,0
nan,nan,nan,nan,0,0.000744,0.000144,0.0007,0
nan,nan,nan,nan,0,0.000747,0.000147,0.0007,0
nan,nan,nan,nan,0,0.00075,0.00015,0.0007,0
nan,nan,nan,nan,0,0.000753,0.000153,0.0007,0
nan,nan,nan,nan,0,0.000756,0.000156,0.0007,0
nan,nan,nan,nan,0,0.000759,0.000159,0.0007,0
nan,nan,nan,nan,0,0.000762,0.000162,0.0007,0
nan,nan,nan,nan,0,0.000765,0.000165,0.0007,0
nan,nan,nan,nan,0,0.000768,0.000168,0.0007,0
nan,nan,nan,nan,0,0.000771,0.000171,0.0007,0
nan,nan,nan,nan,0,0.000774,0.000174,0.0007,0
nan,nan,nan,nan,0,0.000777,0.000177,0.0007,0
7.5215e-11,8.2816e-10,-2.4138e-10,8.4358e-26,1,0.00078,0.00018,0.0007,0
7.5315e-11,1.3973e-07,-8.1312e-09,1.0446e-24,1,0.000783,0.000183,0.0007,0
7.3823e-11,4.605e-07,1.9365e-08,-1.4693e-23,1,0.000786,0.000186,0.0007,0
7.2488e-11,8.9542e-07,2.1988e-08,-4.7997e-24,1,0.000789,0.000189,0.0007,0
7.0996e-11,1.4243e-06,2.1222e-08,4.2197e-24,1,0.000792,0.000192,0.0007,0
6.9269e-11,2.0186e-06,1.2799e-08,-5.3403e-24,1,0.000795,0.000195,0.0007,0
6.6778e-11,2.701e-06,2.4153e-08,2.0227e-23,1,0.000798,0.000198,0.0007,0
6.5338e-11,3.4019e-06,2.2898e-08,2.5807e-24,1,0.000801,0.000201,0.0007,0
6.368e-11,4.1225e-06,1.9575e-08,-9.78e-24,1,0.000804,0.000204,0.0007,0
6.2792e-11,4.864e-06,1.2497e-08,-1.616e-23,1,0.000807,0.000207,0.0007,0
6.1439e-11,5.612e-06,2.4617e-09,-4.2753e-24,1,0.00081,0.00021,0.0007,0
6.0087e-11,6.3656e-06,4.1262e-09,3.4782e-24,1,0.000813,0.000213,0.0007,0
5.8338e-11,7.1118e-06,8.235e-09,2.1714e-23,1,0.000816,0.000216,0.0007,0
5.7684e-11,7.8734e-06,1.1066e-08,5.278e-24,1,0.000819,0.000219,0.0007,0
5.5304e-11,8.6178e-06,2.78e-09,2.4062e-24,1,0.000822,0.000222,0.0007,0
5.5393e-11,9.3757e-06,1.7772e-08,2.1068e-23,1,0.000825,0.000225,0.0007,0
5.3836e-11,1.0102e-05,2.2828e-08,1.7549e-23,1,0.000828,0.000228,0.0007,0
5.1923e-11,1.083e-05,8.1545e-09,8.0061e-24,1,0.000831,0.000231,0.0007,0
5.232e-11,1.158e-05,4.2224e-09,-6.2061e-24,1,0.000834,0.000234,0.0007,0
5.1689e-11,1.2309e-05,4.3276e-09,-1.1998e-23,1,0.000837,0.000237,0.0007,0
5.1031e-11,1.3032e-05,1.4641e-08,9.1295e-24,1,0.00084,0.00024,0.0007,0
5.0356e-11,1.3776e-05,1.7702e-08,1.2724e-23,1,0.000843,0.000243,0.0007,0
4.9684e-11,1.4535e-05,1.4548e-08,2.4044e-24,1,0.000846,0.000246,0.0007,0
4.7412e-11,1.5238e-05,1.6659e-08,-3.0565e-24,1,0.000849,0.000249,0.0007,0
4.6865e-11,1.6008e-05,1.5175e-08,5.6294e-25,1,0.000852,0.000252,0.0007,0
4.6853e-11,1.681e-05,1.431e-08,1.0672e-23,1,0.000855,0.000255,0.0007,0
4.557e-11,1.7573e-05,1.4119e-08,3.2308e-24,1,0.000858,0.000258,0.0007,0
4.6174e-11,1.8455e-05,2.7024e-08,2.392e-26,1,0.000861,0.000261,0.0007,0
4.4616e-11,1.9186e-05,2.695e-10,2.8945e-24,1,0.000864,0.000264,0.0007,0
4.3396e-11,1.9901e-05,-5.0592e-09,8.4046e-24,1,0.000867,0.000267,0.0007,0
4.2373e-11,2.0616e-05,-3.1772e-09,1.8868e-24,1,0.00087,0.00027,0.0007,0
4.2519e-11,2.1423e-05,-5.0288e-09,-2.4278e-24,1,0.000873,0.000273,0.0007,0
4.2669e-11,2.2218e-05,-1.2882e-08,-5.661e-24,1,0.000876,0.000276,0.0007,0
4.1913e-11,2.2877e-05,-1.1836e-08,5.7909e-25,1,0.000879,0.000279,0.0007,0
4.0416e-11,2.3412e-05,-9.2874e-09,1.6006e-24,1,0.000882,0.000282,0.0007,0
