"N","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,1.0035,1.0035,1.0035,1.0035,1.0035,1.0035,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1260
1,1.0035,1.0035,1.0035,1.0035,1.0035,1.0035,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1320
1,1.0035,1.0035,1.0035,1.0035,1.0035,1.0035,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1380
1,1.0034,1.0034,1.0034,1.0034,1.0034,1.0034,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1440
1,1.0034,1.0034,1.0034,1.0034,1.0034,1.0034,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1500
1,1.0031,1.0031,1.0031,1.0031,1.0031,1.0031,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1560
1,0.99499,0.99499,0.99499,0.99499,0.99499,0.99499,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1620
1,0.92104,0.92104,0.92104,0.92104,0.92104,0.92104,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1680
1,0.69192,0.69192,0.69192,0.69192,0.69192,0.69192,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1740
1,0.39554,0.39554,0.39554,0.39554,0.39554,0.39554,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1800
1,0.19272,0.19272,0.19272,0.19272,0.19272,0.19272,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1860
1,0.091001,0.091001,0.091001,0.091001,0.091001,0.091001,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1920
1,0.041231,0.041231,0.041231,0.041231,0.041231,0.041231,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,1980
1,0.017169,0.017169,0.017169,0.017169,0.017169,0.017169,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,2040
1,0.0064894,0.0064894,0.0064894,0.0064894,0.0064894,0.0064894,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,2100
1,0.0021394,0.0021394,0.0021394,0.0021394,0.0021394,0.0021394,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,2160
1,0.00050247,0.00050247,0.00050247,0.00050247,0.00050247,0.00050247,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,2220
1,-4.65e-05,-4.65e-05,-4.65e-05,-4.65e-05,-4.65e-05,-4.65e-05,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,2280
1,-0.00018915,-0.00018915,-0.00018915,-0.00018915,-0.00018915,-0.00018915,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,2340
1,-0.00019579,-0.00019579,-0.00019579,-0.00019579,-0.00019579,-0.00019579,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,2400
