"N","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.49548,0.49548,0.49548,0.49548,0.49548,0.49548,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,1800
1,0.24422,0.24422,0.24422,0.24422,0.24422,0.24422,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,1860
1,0.091602,0.091602,0.091602,0.091602,0.091602,0.091602,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,1920
1,0.026816,0.026816,0.026816,0.026816,0.026816,0.026816,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,1980
1,0.0063384,0.0063384,0.0063384,0.0063384,0.0063384,0.0063384,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,2040
1,0.0012527,0.0012527,0.0012527,0.0012527,0.0012527,0.0012527,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,2100
1,0.00021387,0.00021387,0.00021387,0.00021387,0.00021387,0.00021387,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,2160
1,3.2459e-05,3.2459e-05,3.2459e-05,3.2459e-05,3.2459e-05,3.2459e-05,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,2220
1,4.4883e-06,4.4883e-06,4.4883e-06,4.4883e-06,4.4883e-06,4.4883e-06,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,2280
1,5.7706e-07,5.7706e-07,5.7706e-07,5.7706e-07,5.7706e-07,5.7706e-07,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,2340
1,7.0127e-08,7.0127e-08,7.0127e-08,7.0127e-08,7.0127e-08,7.0127e-08,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,2400
